Community health worker designation,Gender,What is your current age (in years)?,How long have you worked in this village/Area (In years),What is your marital status,Do you have children?,Highest level of education completed,What type of initial training did you receive to serve as a community health worker?,Other (please specify),An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,What do you remember most clearly from your training?,Other (please specify),"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Do you receive regular refresher or continuous professional training training?,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,Other (please specify),Which training topic was most clearly presented? (Select all that applies),Other (please specify),Were you certified after training?,Does having CHP certification influence motivation or performance?,How would you rate the quality of the main training provided to you as a CHP?,Household visits,Health promotion and education,MNCH support,Disease surveillance,Basic NCD screening,Referrals and follow-up,Community mobilization,WASH promotion,Distribution of LLTNs,Defaulter Tracing,How clear are you about the services you are officially expected to provide in your role?,Are you routinely assigned tasks that you believe fall outside your official scheme of service?,How would you rate the overall quality of community health services delivered?,Community health services are consistent across villages/households?,How often do you receive supportive supervision?,Who provides/Supposed to provide supervision: CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,I don't know,Other (please specify),How adequate is the supervision provided?,"Do you have the tools and commodities they need to perform their roles (job aids, reporting tools, referral slips, kits)?",What challenges affect the quality of community health service delivery? (open ended),How are you being engaged as a CHP?,Do you receive a stipend?,"Source of stipends : Yes, from national government","Yes, from county government","Yes, from partners",None,"If yes, how adequate is the remuneration?",Non-financial incentives : None of the above,Uniforms/Badges,Phone,Airtime,Fare/Transport support/means of transport,Recognition events,Training opportunities,Other (please specify),Does partner funding support community health operations?,"Are you involved in income-generating groups (CHW IGAs, savings groups, cooperatives)?","If yes, which income-generating activities (IGAs) are you involved in?",How effective are these IGAs in supporting CHW motivation and retention?,Inadequate and Unpredictable Funding for Community Health Programs,Insufficient Remuneration and Incentives for Community Health Workers (CHWs),"Limited Financing for Commodities, Supplies, and Logistics","Weak Funding for Supervision, Training, and Data Systems",Poor Integration of Community Health into Broader Health Financing Frameworks,What data collection tools do CHPs use? ,Activity reporting forms,Digital tools (eCHIS),Partner tools,Other (please specify),Are the tools adequate for the work required?,How frequently do you submit reports?,How would you rate data accuracy and completeness?,In your opinion is community-level data used for decision-making?,Who uses the data? : CHPs,CHEWs/CHAs,Facility staff,County HR and Planning,Partners,National programs,Do you receive feedback on the reports you generate?,Who gives you feedback on the reports you generate?,Other (please specify),Is community-level data integrated into KHIS/DHIS2?,Do you know that Kenya is in the process of locally manufacturing vaccines?,Would you be willing to be vaccinated with a locally manufactured vaccine?,Would you be willing to recommend/encourage mothers to get the locally manufactured vaccine.,How would they feel the local community will respond to locally made vaccines?,Any thoughts on what Government can do to improve the uptake of locally made medicines and vaccines? : Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,Robust regulatory oversight is essential to ensure that locally produced medicines meet international quality standards,Assure and Communicate Product Quality,Ensure Competitive Pricing and Affordability,Reduce Overreliance on Imports and Build Resilience,"Communicate the contribution of local pharmaceutical production to job creation, innovation, and broader industrial growth",Local manufacturing strengthens resilience against global shocks and supports timely access to essential medicines and vaccines.
Community health promoter (CHP),Female,40 - 44,05-Jun,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,"Maternal, Neonatal and child health (MNCH)",,No,Extremely,Very high quality,1,4,3,2,5,7,8,6,9,10,Extremely clear,Never,Good,Neither agree nor disagree,Monthly,CHEWs/CHAs,,,,,,Adequate,Sometimes,"Accessibility to rural areas especially in cases where the patient requires help at night, I need to use my own transportation to be able to go refer the patient and that makes the job more difficult ",List of names issued for appointment,"Yes, i receive regularly","Yes, from national government",,,,Very Inadequate,,Uniforms/Badges,Phone,,,,,,Minimal,Yes,Malindi CHPâ€™s Chama,Somewhat effective,1,3,2,4,5,MOH registers,,Digital tools (eCHIS),,,No,Monthly,Good,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,05-Jun,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Usually,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,Capturing number of deaths ,Other (please specify),Family planning ,No,Extremely,Very high quality,1,2,4,3,7,6,8,5,9,10,Extremely clear,"Yes, occasionally",Good,Strongly agree,Weekly,,Facility - in - charges,,,,,Adequate,Sometimes,"Tools are not provided often, Transport, no medicine ",List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,Airtime,Fare/Transport support/means of transport,,Training opportunities,,"Yes, majorly",No,,,1,3,2,4,5,,,Digital tools (eCHIS),,,Partially,Monthly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,25 - 29,03-Apr,Single,No,Tertiary (Diploma),Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,WASH,,No,Extremely,Very high quality,2,1,4,3,8,6,7,5,9,10,Extremely clear,Not sure what is outside my scheme of service,Excellent,Strongly agree,Weekly,CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,,,Very adequate,Always,Nowadays the rate of trainings has gone down  ,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,Recognition events,Training opportunities,,"Yes, Partially",No,,,3,4,2,5,1,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Partially,Weekly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,30 - 34,05-Jun,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,,,,,,Basic Health Care and Lifesaving Skills,,,Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Sometimes,,"HIV, TB and Malaria",,Mental Health,WASH,,Community engagement,,"Maternal, Neonatal and child health (MNCH)",,Yes,Extremely,High quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,30 - 34,07-Aug,Married,Yes,Secondary,NGO-led training,,,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,,"HIV, TB and Malaria",,,WASH,,Community engagement,,WASH,,No,Extremely,Neither high nor low quality,1,3,7,5,6,9,2,4,8,10,Very clear,Rarely,Good,Agree,Monthly,CHEWs/CHAs,Facility - in - charges,,,,,Adequate,Usually,"Lack of resources such as umbrellas, raincoats and gumboots especially during rainy days.Lack of enough motivation (underplayed)",Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,Uniforms/Badges,Phone,,,,Training opportunities,,Minimal,No,,,2,1,3,4,5,,,Digital tools (eCHIS),Partner tools,,Yes,Monthly,Good,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,25 - 29,03-Apr,Single,Yes,Secondary,NGO-led training,,,,"Communication, Advocacy and Social Mobilization",,,,Community Governance and Leadership,,"Water, Sanitation and Hygiene",Community Nutrition,,,Family Planning,,,Sometimes,,,,Mental Health,,,Community engagement,,Mental Health,,No,Not at all,High quality,2,4,5,6,1,3,7,8,9,10,Very clear,"Yes, frequently",Good,Agree,Monthly,,,Community health focal persons,,,,Adequate,Always,It's very hard when you go with clients and rain comes we don't have any rain coat and gumboots ,Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,,Phone,,,,,,"Yes, Partially",No,,,1,4,3,2,5,MOH registers,,,,,Yes,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,07-Aug,Single,Yes,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,09-Oct,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Rarely,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),,WASH,Data management and digital reporting,Community engagement,,"Maternal, Neonatal and child health (MNCH)",,Yes,Extremely,High quality,1,2,3,4,5,6,7,8,9,10,Very clear,Rarely,Good,Strongly agree,Weekly,CHEWs/CHAs,,,,,,Adequate,Always,"We have a challenge during rainy seasons,we lack rainy coat and gum boot ",Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,Uniforms/Badges,Phone,,,Recognition events,Training opportunities,,"Yes, majorly",No,,,1,2,3,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),Partner tools,,Yes,Irregularly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,07-Aug,Single,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,,Community engagement,,"Maternal, Neonatal and child health (MNCH)",,No,Extremely,Very high quality,1,3,5,8,7,2,6,4,10,9,Very clear,Rarely,Good,Neither agree nor disagree,Monthly,CHEWs/CHAs,,,,,,Adequate,Sometimes,#NAME?,Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government","Yes, from partners",,Very Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, majorly",Yes,Savings group,Extremely effective,3,2,4,5,1,,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Excellent,Never,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Single,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,,Community engagement,,"Maternal, Neonatal and child health (MNCH)",,No,Extremely,High quality,1,2,3,4,5,6,7,8,9,10,Extremely clear,Rarely,Good,Agree,Rarely,CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,,,Inadequate,Sometimes,Reporting system and luck of refresher courses,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,Uniforms/Badges,Phone,,,,,,Minimal,Yes,Table banking,Somewhat effective,1,2,3,4,5,,,Digital tools (eCHIS),,,No,Monthly,Good,Rarely,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,30 - 34,07-Aug,Single,Yes,Tertiary (Diploma),NGO-led training,,An introduction to the CHV training Course,,,,,,"Communication, Advocacy and Social Mobilization",,,,,Maternal and Newborn Health,,,,Rarely,"Maternal, Neonatal and child health (MNCH)",,,,,,,,"Maternal, Neonatal and child health (MNCH)",,Yes,Slightly,High quality,2,3,1,4,8,6,5,7,9,10,Extremely clear,Rarely,Good,Strongly agree,Weekly,CHEWs/CHAs,,,,,,Very adequate,Always,"Inadequate Training: Without continuous professional development, providers may struggle with evolving medical protocols or new technology.",Volunteer,"Yes, i receive regularly","Yes, from national government",,,,Very Inadequate,,Uniforms/Badges,,,,,,,None,No,,,1,4,2,3,5,,,Digital tools (eCHIS),,,Yes,Weekly,Good,Never,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,35 - 39,0 - 2,Married,Yes,Tertiary (Diploma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,35 - 39,07-Aug,Married,Yes,Tertiary (Undergraduate),Standardized government curriculum,,,,,,Basic Health Care and Lifesaving Skills,,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",,,,Family Planning,,,Usually,,"HIV, TB and Malaria",,,,,,,Community engagement,,Yes,Moderately,High quality,1,2,3,4,5,6,7,8,9,10,Somewhat clear,Never,Very poor,Disagree,Never,,Facility - in - charges,,,,,Neutral,Rarely,"Training, safety of services and data privacy ",Letter of assignment,"Yes, i receive regularly","Yes, from national government",,,,Inadequate,,Uniforms/Badges,,,,,,,"Yes, Partially",No,,,1,2,3,4,5,MOH registers,,,,,No,Weekly,Good,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,20 - 24,03-Apr,Married,Yes,Secondary,Standardized government curriculum,,,Community Governance and Leadership,,Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",,Integrated Community Case Management,,Family Planning,,,Rarely,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",,,WASH,,,,WASH,,Yes,Not at all,High quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,07-Aug,Married,Yes,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,09-Oct,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Always,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,WASH,,Yes,Extremely,Very high quality,1,5,2,3,6,7,8,4,9,10,Extremely clear,Never,Fair,Agree,Monthly,CHEWs/CHAs,,,,,,Very adequate,Always,Government not doing what they promised ,Volunteer,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government","Yes, from partners",,Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,Minimal,Yes,Mnarani mavumbini ,Extremely effective,1,2,3,4,5,,Activity reporting forms,Digital tools (eCHIS),,,Partially,Monthly,Good,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Secondary,Standardized government curriculum,,,Community Governance and Leadership,,,,,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)",,,,,,,,Non communicable diseases (NCDs),,No,Extremely,High quality,1,7,5,9,6,4,8,2,10,3,Somewhat clear,Never,Fair,Neither agree nor disagree,Monthly,CHEWs/CHAs,,,,,,Neutral,Sometimes,"Clients moving to different places, ",Volunteer,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, Partially",Yes,Merry go round,Extremely effective,5,2,3,1,4,MOH registers,,Digital tools (eCHIS),,,No,Monthly,Fair,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Primary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Usually,,"HIV, TB and Malaria",,,,,,,"HIV, TB and Malaria",,Yes,Extremely,High quality,1,7,4,5,6,3,8,9,10,2,Extremely clear,Never,Excellent,Agree,Monthly,CHEWs/CHAs,Facility - in - charges,,Partner staff,,,Neutral,Sometimes,1. Inadequate remuneration ,Formal contract from partners,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government","Yes, from partners",,Very Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, majorly",Yes,Wood carving ,Not at all effective,4,1,2,3,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Good,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,Above 10 years,Single,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Never,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,"Maternal, Neonatal and child health (MNCH)",,No,Extremely,Very high quality,1,3,2,4,6,7,8,5,9,10,Extremely clear,"Yes, occasionally",Excellent,Strongly agree,Monthly,CHEWs/CHAs,,,,,,Very adequate,Always,Low payment ,Volunteer,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Neutral,,,Phone,,,,,,"Yes, majorly",Yes,"Business, table banking and merry go round ",Extremely effective,1,2,3,5,4,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Excellent,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,05-Jun,Married,Yes,Tertiary (Certificate),Standardized government curriculum,,,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,,"HIV, TB and Malaria",Non communicable Diseases,Usually,,,,,,Data management and digital reporting,Community engagement,,Data management and digital reporting,,No,Not at all,High quality,2,3,1,6,4,5,7,8,9,10,Very clear,Never,Good,Agree,Weekly,CHEWs/CHAs,,,,,,Very adequate,Sometimes,"Inadequate pay, refusal of engagement from community ",List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,,Phone,,,,,,None,No,,,3,1,2,4,5,,,Digital tools (eCHIS),,,Yes,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
